CA DistanceNominal (au),V relative(km/s),H(mag)
0.04137,7.93,61.99999999999999
0.00931,3.98,74.5
0.03877,19.37,36.99999999999999
0.01719,19.87,66.5
0.04606,9.5,64.5
0.03706,5.26,44.49999999999999
0.02193,4.47,84.0
0.01198,11.89,59.0
0.0231,2.89,61.0
0.04292,10.22,69.5
0.02481,8.04,34.0
0.0273,9.77,73.0
0.04243,19.11,51.5
0.01117,11.3,72.0
0.04524,14.39,49.0
0.01718,8.84,62.5
0.03229,25.97,31.999999999999993
0.04697,9.42,60.0
0.02138,12.85,61.5
0.039,11.07,79.5
0.01658,14.19,63.5
0.01617,14.14,60.50000000000001
0.00484,5.06,71.0
0.01145,5.92,58.00000000000001
0.04171,7.28,65.0
0.0256,8.57,73.5
0.04803,14.42,45.50000000000001
0.01735,20.53,63.00000000000001
0.01086,6.35,56.5
0.04422,7.57,64.0
0.01616,7.02,60.0
0.0393,7.56,34.49999999999999
0.03259,10.06,43.5
0.01948,4.21,70.5
0.0038,9.23,63.5
0.03625,5.37,55.0
0.03641,7.57,83.5
0.03894,4.08,68.0
0.01414,10.68,74.0
0.0302,8.22,65.5
0.02735,8.26,67.0
0.04319,4.09,78.5
0.04379,14.55,49.49999999999999
0.03556,5.43,73.5
0.01946,28.98,38.5
0.01931,2.75,84.5
0.01474,3.58,65.5
0.04269,5.92,76.5
0.00378,5.48,77.0
0.01561,2.31,71.0
0.04488,11.17,62.5
0.03198,17.55,27.5
0.03986,8.65,67.5
0.02872,13.02,39.0
0.01712,4.17,79.0
0.01724,7.83,63.00000000000001
0.03792,8.81,66.0
0.04086,5.74,61.5
0.01329,5.55,58.00000000000001
0.03743,12.13,40.0
0.00622,28.6,61.99999999999999
0.04555,8.04,66.5
0.01943,29.25,30.0
0.04174,5.16,63.00000000000001
0.0383,9.87,56.0
0.03811,9.49,56.99999999999999
0.00038,13.27,67.0
0.04639,8.05,64.5
0.03003,9.58,41.99999999999999
0.00285,13.31,73.0
0.0221,20.42,61.0
0.01068,16.06,46.99999999999999
0.03151,9.35,60.50000000000001
0.04409,13.54,36.0
0.04903,21.3,36.5
0.0272,6.2,50.0
0.0293,16.39,44.0
0.00217,4.28,83.5
0.04978,12.46,56.99999999999999
0.03945,5.02,62.5
0.0488,7.36,72.5
0.02769,3.72,73.5
0.0357,5.18,71.5
0.02787,5.11,69.5
0.02046,5.56,68.0
0.02989,15.28,54.49999999999999
0.01913,4.29,65.5
0.04395,7.7,59.0
0.03553,9.77,50.0
0.00689,14.89,69.0
0.03803,6.14,56.0
0.04455,32.74,37.5
0.00077,8.81,88.5
0.03476,6.03,60.0
0.041,15.2,54.0
0.04516,13.36,16.999999999999993
0.01764,13.29,63.5
0.02387,6.42,62.5
0.02862,9.83,55.50000000000001
0.03905,6.37,75.5
0.02862,17.15,40.50000000000001
0.02125,5.49,79.5
0.01891,10.18,22.5
0.02714,9.48,82.5
0.03283,9.91,63.5
0.0062,11.09,56.0
0.04501,10.56,44.0
0.03531,16.28,40.0
0.01816,8.27,50.50000000000001
0.04988,19.95,26.999999999999993
0.00858,4.48,53.00000000000001
0.0458,9.01,51.99999999999999
0.03154,9.89,61.0
0.00647,3.22,76.0
0.03108,5.64,67.0
0.02976,8.26,62.5
0.04314,12.44,53.00000000000001
0.04425,11.74,62.5
0.00899,14.94,59.0
0.0256,10.94,55.50000000000001
0.03879,14.77,55.0
0.02167,17.93,52.5
0.01544,9.31,66.5
0.03574,5.61,35.0
0.04576,12.0,40.50000000000001
0.04426,11.36,52.5
0.04895,4.23,68.5
0.04834,6.78,52.5
0.02019,11.54,67.0
0.01407,10.72,59.0
0.00346,9.49,77.5
0.0237,8.3,59.0
0.0249,5.86,68.0
0.03611,10.25,55.0
0.044,15.31,69.0
0.04115,4.38,48.00000000000001
0.03361,15.78,15.0
